hood_p,pre,post,permit_chg,k,hood_b,openings_15_19_avg,openings_22_25_avg,open_chg,active_now,total_ever,sq_mi,survival,biz_density_now,openings_per_sqmi,type
Lakeview,92.4,21.25,-77.0021645021645,LAKEVIEW,LAKEVIEW,17.0,18.0,5.9,173,334,1.6,51.796407185628745,108.125,11.25,B. Forming without building
Leonidas,111.0,48.25,-56.531531531531535,LEONIDAS,LEONIDAS,28.6,25.2,-11.7,222,522,1.0,42.5287356321839,222.0,25.2,B. Forming without building
Little Woods,71.8,35.0,-51.25348189415042,LITTLE WOODS,LITTLE WOODS,37.8,30.8,-18.7,300,669,6.1,44.843049327354265,49.18032786885246,5.049180327868853,C. Building without forming
Lower Garden District,223.6,178.25,-20.281753130590342,LOWER GARDEN DISTRICT,LOWER GARDEN DISTRICT,44.0,37.5,-14.8,388,796,1.1,48.743718592964825,352.7272727272727,34.090909090909086,A. Building and forming
Lower Ninth Ward,42.8,31.75,-25.817757009345787,LOWER NINTH WARD,LOWER NINTH WARD,7.4,5.2,-29.1,57,106,1.6,53.77358490566038,35.625,3.25,C. Building without forming
Marigny,119.8,63.75,-46.786310517529216,MARIGNY,MARIGNY,26.0,21.8,-16.3,280,442,0.3,63.348416289592755,933.3333333333334,72.66666666666667,C. Building without forming
Marlyville - Fontainbleau,75.2,26.5,-64.76063829787235,MARLYVILLE FONTAINBLEAU,MARLYVILLE - FONTAINEBLEAU,9.2,5.0,-45.7,100,209,0.6,47.84688995215311,166.66666666666669,8.333333333333334,D. Neither
McDonogh,37.4,12.5,-66.57754010695187,MCDONOGH,McDONOGH,5.4,4.2,-21.3,39,82,0.5,47.5609756097561,78.0,8.4,D. Neither
Mid-City,322.8,127.5,-60.50185873605949,MID CITY,MID-CITY,76.2,53.0,-30.4,694,1297,1.6,53.508095605242865,433.75,33.125,D. Neither
Milan,132.6,46.25,-65.1206636500754,MILAN,MILAN,15.4,10.5,-31.8,125,266,0.5,46.99248120300752,250.0,21.0,D. Neither
Navarre,63.4,6.25,-90.14195583596214,NAVARRE,NAVARRE,5.6,6.2,11.6,66,124,0.7,53.2258064516129,94.28571428571429,8.857142857142858,B. Forming without building
Old Aurora,58.8,27.25,-53.65646258503401,OLD AURORA,OLD AURORA,18.2,22.2,22.3,195,383,3.1,50.91383812010444,62.90322580645161,7.161290322580645,B. Forming without building
Pines Village,36.6,18.25,-50.13661202185793,PINES VILLAGE,PINES VILLAGE,14.0,8.5,-39.3,127,228,1.4,55.70175438596491,90.71428571428572,6.071428571428572,C. Building without forming
Plum Orchard,83.0,7.75,-90.66265060240964,PLUM ORCHARD,PLUM ORCHARD,7.8,5.5,-29.5,60,127,1.0,47.24409448818898,60.0,5.5,D. Neither
Read Blvd East,56.4,33.0,-41.48936170212766,READ BLVD EAST,READ BLVD EAST,29.2,18.8,-35.8,214,440,3.7,48.63636363636364,57.83783783783784,5.081081081081081,C. Building without forming
Seventh Ward,214.0,81.75,-61.79906542056075,SEVENTH WARD,SEVENTH WARD,31.0,28.5,-8.1,300,557,1.2,53.85996409335727,250.0,23.75,B. Forming without building
St Claude,143.4,43.25,-69.83960948396096,ST CLAUDE,ST. CLAUDE,17.0,19.0,11.8,185,313,1.0,59.105431309904155,185.0,19.0,B. Forming without building
St Roch,129.8,43.5,-66.4869029275809,ST ROCH,ST. ROCH,18.0,18.5,2.8,159,327,1.3,48.62385321100918,122.3076923076923,14.23076923076923,B. Forming without building
St Thomas Dev,29.8,26.75,-10.23489932885906,ST THOMAS DEV,ST. THOMAS DEV,6.2,6.2,0.8,51,108,0.4,47.22222222222222,127.5,15.5,A. Building and forming
Tall Timbers - Brechtel,79.6,37.5,-52.8894472361809,TALL TIMBERS BRECHTEL,TALL TIMBERS - BRECHTEL,19.6,20.5,4.6,196,377,3.2,51.9893899204244,61.25,6.40625,B. Forming without building
Touro,78.2,56.0,-28.38874680306905,TOURO,TOURO,17.6,13.2,-24.7,199,360,0.3,55.27777777777778,663.3333333333334,44.0,C. Building without forming
Treme - Lafitte,161.8,66.25,-59.05438813349815,TREME LAFITTE,TREME - LAFITTE,20.2,16.8,-17.1,201,347,0.7,57.925072046109506,287.14285714285717,24.000000000000004,D. Neither
Tulane - Gravier,121.4,69.0,-43.163097199341024,TULANE GRAVIER,TULANE - GRAVIER,24.6,20.8,-15.7,253,432,0.7,58.56481481481482,361.42857142857144,29.71428571428572,C. Building without forming
Uptown,104.6,60.25,-42.39961759082218,UPTOWN,UPTOWN,13.0,14.2,9.6,160,300,0.6,53.333333333333336,266.6666666666667,23.666666666666668,A. Building and forming
Viavant,118.6,61.5,-48.14502529510961,VIAVANT,VIAVANT - VENETIAN ISLES,19.4,14.5,-25.3,231,411,34.7,56.20437956204379,6.657060518731988,0.4178674351585014,C. Building without forming
Village De Lest,32.0,13.5,-57.8125,VILLAGE DE LEST,VILLAGE DE LEST,7.0,5.2,-25.0,78,158,23.9,49.36708860759494,3.263598326359833,0.2175732217573222,D. Neither
West End,49.8,9.5,-80.92369477911646,WEST END,WEST END,9.6,8.8,-8.9,95,170,0.8,55.88235294117647,118.75,11.0,B. Forming without building
West Lake Forest,73.0,23.25,-68.15068493150685,WEST LAKE FOREST,WEST LAKE FOREST,20.0,11.8,-41.2,124,288,1.3,43.05555555555556,95.38461538461539,9.076923076923077,D. Neither
West Riverside,101.4,64.5,-36.39053254437871,WEST RIVERSIDE,WEST RIVERSIDE,18.4,16.2,-11.7,191,374,1.4,51.06951871657755,136.42857142857144,11.571428571428571,A. Building and forming
